DATE,LINE,RESULT,,,,TOTAL_ONES,,
,,,,,,1381,,
0.0045,0.8,0,,,,,,
0.0045,0.9,0,,,,,,
0.0045,0.11,1,,,,,,
0.0045,0.12,1,,,,,,
0.0045,0.13,0,,,,,,
0.0045,0.14,0,,,,,,
0.0045,0.15,1,,,,,,
0.0045,0.16,0,,,,,,
0.0045,0.18,0,,,,,,
0.0045,0.19,0,,,,,,
0.0045,0.21,0,,,,,,
0.0045,0.22,0,,,,,,
0.0045,0.23,0,,,,,,
0.0045,0.24,0,,,,,,
0.0050,0,0,,,,,,
0.0050,0.1,0,,,,,,
0.0050,0.2,1,,,,,,
0.0050,0.17,0,,,,,,
0.0050,0.4,0,,,,,,
0.0050,0.5,0,,,,,,
0.0050,0.6,0,,,,,,
0.0050,0.7,1,,,,,,
0.0050,0.8,0,,,,,,
0.0050,0.9,0,,,,,,
0.0050,0.11,1,,,,,,
0.0050,0.12,1,,,,,,
0.0050,0.13,0,,,,,,
0.0050,0.14,0,,,,,,
0.0050,0.15,1,,,,,,
0.0050,0.16,0,,,,,,
0.0050,0.18,0,,,,,,
0.0050,0.19,0,,,,,,
0.0050,0.21,0,,,,,,
0.0050,0.22,0,,,,,,
0.0050,0.23,0,,,,,,
0.0050,0.24,0,,,,,,
